Time,Obstacle_X,Obstacle_Y,Obstacle_Theta
37.056,-0.235,0.437,1.618
37.12,-0.235,0.442,1.619
37.184,-0.236,0.447,1.619
37.248,-0.236,0.452,1.618
37.312,-0.236,0.457,1.618
37.376,-0.236,0.462,1.618
37.44,-0.236,0.467,1.619
37.504,-0.237,0.472,1.619
37.568,-0.237,0.477,1.618
37.632,-0.237,0.482,1.619
37.696,-0.237,0.487,1.619
37.76,-0.238,0.492,1.619
37.824,-0.238,0.497,1.619
37.888,-0.238,0.501,1.618
37.952,-0.238,0.506,1.619
38.016,-0.239,0.511,1.619
38.08,-0.239,0.516,1.618
38.144,-0.239,0.521,1.618
38.208,-0.239,0.526,1.619
38.272,-0.24,0.531,1.619
38.336,-0.24,0.536,1.618
38.4,-0.24,0.541,1.618
38.464,-0.24,0.545,1.618
38.528,-0.24,0.55,1.619
38.592,-0.241,0.555,1.619
38.656,-0.241,0.56,1.618
38.72,-0.241,0.565,1.618
38.784,-0.241,0.57,1.619
38.848,-0.242,0.575,1.62
38.912,-0.242,0.58,1.618
38.976,-0.242,0.584,1.618
39.04,-0.242,0.589,1.619
39.104,-0.243,0.594,1.619
39.168,-0.243,0.599,1.618
39.232,-0.243,0.604,1.618
39.296,-0.243,0.609,1.618
39.36,-0.243,0.613,1.619
39.424,-0.244,0.618,1.62
39.488,-0.244,0.623,1.618
39.552,-0.244,0.628,1.618
39.616,-0.244,0.633,1.619
39.68,-0.245,0.637,1.62
39.744,-0.245,0.642,1.618
39.808,-0.245,0.647,1.618
39.872,-0.245,0.652,1.619
39.936,-0.246,0.657,1.62
40.0,-0.246,0.661,1.617
40.064,-0.246,0.666,1.617
40.128,-0.246,0.671,1.618
40.192,-0.246,0.676,1.619
40.256,-0.247,0.68,1.621
40.32,-0.247,0.685,1.617
40.384,-0.247,0.69,1.618
40.448,-0.247,0.695,1.619
40.512,-0.248,0.699,1.621
40.576,-0.248,0.704,1.616
40.64,-0.248,0.709,1.617
40.704,-0.248,0.714,1.618
40.768,-0.248,0.718,1.621
40.832,-0.249,0.723,1.625
40.896,-0.249,0.728,1.617
40.96,-0.249,0.732,1.619
41.024,-0.249,0.737,1.622
41.088,-0.25,0.742,1.632
41.152,-0.25,0.746,1.604
41.216,-0.25,0.746,1.318
41.28,-0.249,0.749,1.109
41.344,-0.25,0.748,1.109
41.408,-0.25,0.748,1.104
41.472,-0.25,0.748,1.103
41.536,-0.25,0.748,1.102
41.6,-0.248,0.75,0.955
41.664,-0.247,0.751,0.767
41.728,-0.247,0.751,0.767
41.792,-0.247,0.751,0.767
41.856,-0.247,0.751,0.767
41.92,-0.247,0.75,0.742
41.984,-0.247,0.751,0.49
42.048,-0.247,0.751,0.49
42.112,-0.247,0.751,0.49
42.176,-0.247,0.751,0.49
42.24,-0.247,0.751,0.489
